x,v_ana,d_ana,v_gts_fo,d_gts_fo,v_gts_tvd,d_gts_tvd,v_lts_fo,d_lts_fo,v_lts_tvd,d_lts_tvd
4.275,0.0,4.0,3.49663713129e-07,3.99999977672,0.0,4.0,3.49663713129e-07,3.99999977672,0.0,4.0
4.325,0.0,4.0,6.41191667056e-07,3.99999959057,0.0,4.0,6.41191667056e-07,3.99999959057,0.0,4.0
4.375,0.0,4.0,1.15983869317e-06,3.99999925938,0.0,4.0,1.15983869317e-06,3.99999925938,0.0,4.0
4.425,0.0,4.0,2.06946823806e-06,3.99999867854,0.0,4.0,2.06946823806e-06,3.99999867854,0.0,4.0
4.475,0.0,4.0,3.64208304141e-06,3.99999767434,0.0,4.0,3.64208304141e-06,3.99999767434,0.0,4.0
4.525,0.0,4.0,6.32191609685e-06,3.99999596314,0.0,4.0,6.32191609685e-06,3.99999596314,0.0,4.0
4.575,0.0,4.0,1.08226293198e-05,3.9999930892,0.0,4.0,1.08226293198e-05,3.9999930892,0.0,4.0
4.625,0.0,4.0,1.82716972069e-05,3.9999883326,0.0,4.0,1.82716972069e-05,3.9999883326,0.0,4.0
4.675,0.0,4.0,3.04203006279e-05,3.9999805751,4.99600361081e-16,4.0,3.04203006279e-05,3.9999805751,4.99600361081e-16,4.0
4.725,0.0,4.0,4.99416357779e-05,3.99996810976,5.38458166943e-15,4.0,4.99416357779e-05,3.99996810976,5.38458166943e-15,4.0
4.775,0.0,4.0,8.0844906316e-05,3.9999483765,2.34812169708e-14,4.0,8.0844906316e-05,3.9999483765,2.34812169708e-14,4.0
4.825,0.0,4.0,0.000129035515907,3.9999176045,8.72080185843e-14,4.0,0.000129035515907,3.9999176045,8.72080185843e-14,4.0
4.875,0.0,4.0,0.000203052821514,3.99987034105,3.08031378182e-13,4.0,0.000203052821514,3.99987034105,3.08031378182e-13,4.0
4.925,0.0,4.0,0.000315013577438,3.99979884931,1.0706435738e-12,4.0,0.000315013577438,3.99979884931,1.0706435738e-12,4.0
4.975,0.0,4.0,0.000481779988648,3.99969236258,3.6380898294e-12,4.0,0.000481779988648,3.99969236258,3.6380898294e-12,4.0
5.025,0.0,4.0,0.000726354246401,3.99953619432,1.21135323994e-11,3.99999999999,0.000726354246401,3.99953619432,1.21135323994e-11,3.99999999999
5.075,0.0,4.0,0.00107947522359,3.99931071933,3.95560251223e-11,3.99999999997,0.00107947522359,3.99931071933,3.95560251223e-11,3.99999999997
5.125,0.0,4.0,0.00158135753774,3.998990265,1.26617716314e-10,3.99999999992,0.00158135753774,3.998990265,1.26617716314e-10,3.99999999992
5.175,0.0,4.0,0.00228347024637,3.99854197834,3.97126553889e-10,3.99999999975,0.00228347024637,3.99854197834,3.97126553889e-10,3.99999999975
5.225,0.0,4.0,0.00325020637484,3.9979247651,1.22003213112e-09,3.99999999922,0.00325020637484,3.9979247651,1.22003213112e-09,3.99999999922
5.275,0.0,4.0,0.00456025242934,3.99708842371,3.66987435101e-09,3.99999999766,0.00456025242934,3.99708842371,3.66987435101e-09,3.99999999766
5.325,0.0,4.0,0.00630743847871,3.99597311615,1.08038324029e-08,3.9999999931,0.00630743847871,3.99597311615,1.08038324029e-08,3.9999999931
5.375,0.0,4.0,0.00860084466313,3.9945093205,3.11133637623e-08,3.99999998013,0.00860084466313,3.9945093205,3.11133637623e-08,3.99999998013
5.425,0.0,4.0,0.0115639680202,3.99261839292,8.76066584871e-08,3.99999994406,0.0115639680202,3.99261839292,8.76066584871e-08,3.99999994406
5.475,0.0,4.0,0.0153328188437,3.99021382424,2.41049961108e-07,3.99999984608,0.0153328188437,3.99021382424,2.41049961108e-07,3.99999984608
5.525,0.0,4.0,0.0200529158895,3.98720321208,6.47728559763e-07,3.99999958639,0.0200529158895,3.98720321208,6.47728559763e-07,3.99999958639
5.575,0.0,4.0,0.0258752736525,3.98349088868,1.69865468801e-06,3.99999891532,0.0258752736525,3.98349088868,1.69865468801e-06,3.99999891532
