x,v_ana,d_ana,v_gts_fo,d_gts_fo,v_gts_tvd,d_gts_tvd,v_lts_fo,d_lts_fo,v_lts_tvd,d_lts_tvd
12.575,0,1,0,1,0,1,0,1,0,1
12.625,0,1,0,1,0,1,0,1,0,1
12.675,0,1,0,1,0,1,0,1,0,1
12.725,0,1,0,1,0,1,0,1,0,1
12.775,0,1,0,1,0,1,0,1,0,1
12.825,0,1,0,1,0,1,0,1,0,1
12.875,0,1,0,1,0,1,0,1,0,1
12.925,0,1,0,1,0,1,0,1,0,1
12.975,0,1,0,1,0,1,0,1,0,1
13.025,0,1,0,1,0,1,0,1,0,1
13.075,0,1,0,1,0,1,0,1,0,1
13.125,0,1,0,1,0,1,0,1,0,1
13.175,0,1,0,1,0,1,0,1,0,1
13.225,0,1,0,1,0,1,0,1,0,1
13.275,0,1,0,1,0,1,0,1,0,1
13.325,0,1,0,1,0,1,0,1,0,1
13.375,0,1,0,1,0,1,0,1,0,1
13.425,0,1,0,1,0,1,0,1,0,1
13.475,0,1,0,1,0,1,0,1,0,1
13.525,0,1,0,1,0,1,0,1,0,1
13.575,0,1,0,1,0,1,0,1,0,1
13.625,0,1,0,1,0,1,0,1,0,1
13.675,0,1,0,1,0,1,0,1,0,1
13.725,0,1,0,1,0,1,0,1,0,1
13.775,0,1,0,1,0,1,0,1,0,1
13.825,0,1,0,1,0,1,0,1,0,1
13.875,0,1,0,1,0,1,0,1,0,1
13.925,0,1,0,1,0,1,0,1,0,1
13.975,0,1,0,1,0,1,0,1,0,1
14.025,0,1,0,1,0,1,0,1,0,1
14.075,0,1,0,1,0,1,0,1,0,1
14.125,0,1,0,1,0,1,0,1,0,1
14.175,0,1,0,1,0,1,0,1,0,1
14.225,0,1,0,1,0,1,0,1,0,1
14.275,0,1,0,1,0,1,0,1,0,1
14.325,0,1,0,1,0,1,0,1,0,1
14.375,0,1,0,1,0,1,0,1,0,1
14.425,0,1,0,1,0,1,0,1,0,1
14.475,0,1,0,1,0,1,0,1,0,1
14.525,0,1,0,1,0,1,0,1,0,1
14.575,0,1,0,1,0,1,0,1,0,1
14.625,0,1,0,1,0,1,0,1,0,1
14.675,0,1,0,1,0,1,0,1,0,1
14.725,0,1,0,1,0,1,0,1,0,1
14.775,0,1,0,1,0,1,0,1,0,1
14.825,0,1,0,1,0,1,0,1,0,1
14.875,0,1,0,1,0,1,0,1,0,1
14.925,0,1,0,1,0,1,0,1,0,1
14.975,0,1,0,1,0,1,0,1,0,1
15.025,0,1,0,1,0,1,0,1,0,1
15.075,0,1,0,1,0,1,0,1,0,1
15.125,0,1,0,1,0,1,0,1,0,1
15.175,0,1,0,1,0,1,0,1,0,1
15.225,0,1,0,1,0,1,0,1,0,1
15.275,0,1,0,1,0,1,0,1,0,1
15.325,0,1,0,1,0,1,0,1,0,1
15.375,0,1,0,1,0,1,0,1,0,1
15.425,0,1,0,1,0,1,0,1,0,1
15.475,0,1,0,1,0,1,0,1,0,1
15.525,0,1,0,1,0,1,0,1,0,1
15.575,0,1,0,1,0,1,0,1,0,1
15.625,0,1,0,1,0,1,0,1,0,1
15.675,0,1,0,1,0,1,0,1,0,1
15.725,0,1,0,1,0,1,0,1,0,1
15.775,0,1,0,1,0,1,0,1,0,1
15.825,0,1,0,1,0,1,0,1,0,1
15.875,0,1,0,1,0,1,0,1,0,1
15.925,0,1,0,1,0,1,0,1,0,1
15.975,0,1,0,1,0,1,0,1,0,1
16.025,0,1,0,1,0,1,0,1,0,1
16.075,0,1,0,1,0,1,0,1,0,1
16.125,0,1,0,1,0,1,0,1,0,1
16.175,0,1,0,1,0,1,0,1,0,1
16.225,0,1,0,1,0,1,0,1,0,1
16.275,0,1,0,1,0,1,0,1,0,1
16.325,0,1,0,1,0,1,0,1,0,1
16.375,0,1,0,1,0,1,0,1,0,1
16.425,0,1,0,1,0,1,0,1,0,1
16.475,0,1,0,1,0,1,0,1,0,1
16.525,0,1,0,1,0,1,0,1,0,1
16.575,0,1,0,1,0,1,0,1,0,1
16.625,0,1,0,1,0,1,0,1,0,1
16.675,0,1,0,1,0,1,0,1,0,1
16.725,0,1,0,1,0,1,0,1,0,1
16.775,0,1,0,1,0,1,0,1,0,1
16.825,0,1,0,1,0,1,0,1,0,1
16.875,0,1,0,1,0,1,0,1,0,1
16.925,0,1,0,1,0,1,0,1,0,1
16.975,0,1,0,1,0,1,0,1,0,1
17.025,0,1,0,1,0,1,0,1,0,1
17.075,0,1,0,1,0,1,0,1,0,1
17.125,0,1,0,1,0,1,0,1,0,1
17.175,0,1,0,1,0,1,0,1,0,1
17.225,0,1,0,1,0,1,0,1,0,1
17.275,0,1,0,1,0,1,0,1,0,1
17.325,0,1,0,1,0,1,0,1,0,1
17.375,0,1,0,1,0,1,0,1,0,1
17.425,0,1,0,1,0,1,0,1,0,1
17.475,0,1,0,1,0,1,0,1,0,1
17.525,0,1,0,1,0,1,0,1,0,1
17.575,0,1,0,1,0,1,0,1,0,1
17.625,0,1,0,1,0,1,0,1,0,1
17.675,0,1,0,1,0,1,0,1,0,1
17.725,0,1,0,1,0,1,0,1,0,1
17.775,0,1,0,1,0,1,0,1,0,1
17.825,0,1,0,1,0,1,0,1,0,1
17.875,0,1,0,1,0,1,0,1,0,1
17.925,0,1,0,1,0,1,0,1,0,1
17.975,0,1,0,1,0,1,0,1,0,1
18.025,0,1,0,1,0,1,0,1,0,1
18.075,0,1,0,1,0,1,0,1,0,1
18.125,0,1,0,1,0,1,0,1,0,1
18.175,0,1,0,1,0,1,0,1,0,1
18.225,0,1,0,1,0,1,0,1,0,1
18.275,0,1,0,1,0,1,0,1,0,1
18.325,0,1,0,1,0,1,0,1,0,1
18.375,0,1,0,1,0,1,0,1,0,1
