x,v_ana,d_ana,v_gts_fo,d_gts_fo,v_gts_tvd,d_gts_tvd,v_lts_fo,d_lts_fo,v_lts_tvd,d_lts_tvd
6.925,0.0,4.0,2.63480468742e-05,3.99998317543,2.45750642058e-12,4.0,2.61985112262e-05,3.99998327092,2.38857307904e-12,4.0
6.975,0.0,4.0,5.13878725247e-05,3.99996718624,1.01797736907e-11,3.99999999999,5.11227046962e-05,3.99996735557,9.90890181646e-12,3.99999999999
7.025,0.0,4.0,9.78803023219e-05,3.99993749851,4.10163847334e-11,3.99999999997,9.74230469597e-05,3.9999377905,3.9981790387e-11,3.99999999997
7.075,0.0,4.0,0.000182041856247,3.99988375725,1.60702312572e-10,3.9999999999,0.000181275577753,3.99988424659,1.56866599181e-10,3.9999999999
7.125,0.0,4.0,0.000330526913728,3.99978894266,6.11899891927e-10,3.99999999961,0.000329279802307,3.99978973907,5.98108406032e-10,3.99999999962
7.175,0.0,4.0,0.000585762504915,3.99962596403,2.26283850073e-09,3.99999999856,0.000583792861953,3.99962722195,2.21478525151e-09,3.99999999859
7.225,0.0,4.0,0.00101306851289,3.99935311478,8.12169180185e-09,3.99999999481,0.00101005218483,3.99935504138,7.95958676096e-09,3.99999999492
7.275,0.0,4.0,0.00170957983369,3.99890837923,2.82709414378e-08,3.99999998195,0.00170510477655,3.99891123807,2.77420172383e-08,3.99999998229
7.325,0.0,4.0,0.00281459913918,3.99820283196,9.53643364362e-08,3.99999993911,0.00280817303011,3.9982069384,9.36969869007e-08,3.99999994017
7.375,0.0,4.0,0.00452045840677,3.99711372542,3.11459312506e-07,3.99999980112,0.00451153528462,3.99711943009,3.06387655132e-07,3.99999980436
7.425,0.0,4.0,0.00708232811286,3.99547827536,9.83932472643e-07,3.99999937171,0.00707035806905,3.99548593324,9.69068201085e-07,3.9999993812
7.475,0.0,4.0,0.0108248459706,3.9930895243,3.00339077353e-06,3.99999808218,0.0108093474176,3.99309944979,2.96148258356e-06,3.99999810894
7.525,0.0,4.0,0.0161431755012,3.98969583876,8.84752305125e-06,3.99999435041,0.0161238229025,3.98970825124,8.73407555488e-06,3.99999442285
7.575,0.0,4.0,0.023496387836,3.98500542075,2.51195802083e-05,3.99998395988,0.0234731006332,3.98502038969,2.48253623724e-05,3.99998414775
7.625,0.0,4.0,0.0333920221227,3.97869659549,6.86318597221e-05,3.99995617512,0.0333650356494,3.97871399694,6.79027783324e-05,3.99995664068
7.675,0.0,4.0,0.0463622365186,3.97043362305,0.000180141313493,3.99988497102,0.0463321357001,3.97045311942,0.00017842050037,3.99988606989
7.725,0.0,4.0,0.0629337660603,3.95988659209,0.000453335014543,3.99971052534,0.0629014689968,3.9599076428,0.000453335014543,3.99971052534
7.775,0.0,4.0,0.0835954283645,3.94675293217,0.00109134961155,3.99930313529,0.0835621182213,3.94677483591,0.00109134961155,3.99930313529
7.825,0.0,4.0,0.108767655088,3.93077756884,0.00250687136399,3.99839933425,0.10873467139,3.93079953022,0.00250687136399,3.99839933425
7.875,0.0,4.0,0.138778212298,3.91176892929,0.00547867908766,3.9965020899,0.138746922229,3.91179013689,0.00547867908766,3.9965020899
7.925,0.0,4.0,0.173847009157,3.8896088323,0.0113565527301,3.99275056901,0.173818682647,3.88962853378,0.0113565527301,3.99275056901
7.975,0.0,4.0,0.214081099487,3.86425549577,0.0222573094957,3.98579694067,0.214056808278,3.86427305762,0.0222573094957,3.98579694067
8.025,0.0,4.0,0.259479195459,3.83574010501,0.0411244493212,3.97377360026,0.259479195459,3.83574010501,0.0411244493212,3.97377360026
8.075,0.0,4.0,0.309943681651,3.80415830087,0.0714814807149,3.95446193506,0.309943681651,3.80415830087,0.0714814807149,3.95446193506
8.125,0.0,4.0,0.365297454865,3.76965841164,0.116782600725,3.9257245371,0.365297454865,3.76965841164,0.116782600725,3.9257245371
8.175,0.12056704800898643,3.923382257042281,0.425302893701,3.73242827808,0.179505532398,3.8861015985,0.425302893701,3.73242827808,0.179505532398,3.8861015985
8.225,0.23167815912008294,3.8534295715335745,0.48968069695,3.6926822276,0.260441864901,3.83526674282,0.48968069695,3.6926822276,0.260441864901,3.83526674282
8.275,0.34278927023118655,3.7841061255260016,0.558126987015,3.65064930199,0.358807664572,3.77393816002,0.558126987015,3.65064930199,0.358807664572,3.77393816002
8.325,0.45390038134228305,3.715411919019573,0.630327753733,3.60656337281,0.473662590184,3.70295894181,0.630327753733,3.60656337281,0.473662590184,3.70295894181
8.375,0.5650114924533831,3.6473469520142743,0.705970287695,3.56065537882,0.596793487104,3.62827646226,0.705970287695,3.56065537882,0.596793487104,3.62827646226
8.425,0.6761226035644832,3.57991122451012,0.784751666236,3.51314763187,0.714959259042,3.55620762396,0.784751666236,3.51314763187,0.714959259042,3.55620762396
